movieId,title,genres,imdbId
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709
2,Jumanji (1995),Adventure|Children|Fantasy,113497
3,Grumpier Old Men (1995),Comedy|Romance,113228
4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885
5,Father of the Bride Part II (1995),Comedy,113041
6,Heat (1995),Action|Crime|Thriller,113277
7,Sabrina (1995),Comedy|Romance,114319
8,Tom and Huck (1995),Adventure|Children,112302
9,Sudden Death (1995),Action,114576
10,GoldenEye (1995),Action|Adventure|Thriller,113189
11,"American President, The (1995)",Comedy|Drama|Romance,112346
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896
13,Balto (1995),Adventure|Animation|Children,112453
14,Nixon (1995),Drama,113987
15,Cutthroat Island (1995),Action|Adventure|Romance,112760
16,Casino (1995),Crime|Drama,112641
17,Sense and Sensibility (1995),Drama|Romance,114388
18,Four Rooms (1995),Comedy,113101
19,Ace Ventura: When Nature Calls (1995),Comedy,112281
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845
21,Get Shorty (1995),Comedy|Crime|Thriller,113161
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722
23,Assassins (1995),Action|Crime|Thriller,112401
24,Powder (1995),Drama|Sci-Fi,114168
25,Leaving Las Vegas (1995),Drama|Romance,113627
26,Othello (1995),Drama,114057
27,Now and Then (1995),Children|Drama,114011
28,Persuasion (1995),Drama|Romance,114117
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012
31,Dangerous Minds (1995),Drama,112792
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746
33,Wings of Courage (1995),Adventure|Romance|IMAX,114952
34,Babe (1995),Children|Drama,112431
35,Carrington (1995),Drama|Romance,112637
36,Dead Man Walking (1995),Crime|Drama,112818
37,Across the Sea of Time (1995),Documentary|IMAX,112286
38,It Takes Two (1995),Children|Comedy,113442
39,Clueless (1995),Comedy|Romance,112697
40,"Cry, the Beloved Country (1995)",Drama,112749
41,Richard III (1995),Drama|War,114279
42,Dead Presidents (1995),Action|Crime|Drama,112819
43,Restoration (1995),Drama,114272
44,Mortal Kombat (1995),Action|Adventure|Fantasy,113855
45,To Die For (1995),Comedy|Drama|Thriller,114681
46,How to Make an American Quilt (1995),Drama|Romance,113347
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,114148
49,When Night Is Falling (1995),Drama|Romance,114916
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814
51,Guardian Angel (1994),Action|Drama|Thriller,109950
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,113819
53,Lamerica (1994),Adventure|Drama,110299
54,"Big Green, The (1995)",Children|Comedy,112499
55,Georgia (1995),Drama,113158
56,Kids of the Round Table (1995),Adventure|Children|Fantasy,113541
57,Home for the Holidays (1995),Drama,113321
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,110877
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,112714
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,113419
61,Eye for an Eye (1996),Drama|Thriller,116260
62,Mr. Holland's Opus (1995),Drama,113862
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,116126
64,Two if by Sea (1996),Comedy|Romance,118002
65,Bio-Dome (1996),Comedy,115683
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,116839
67,Two Bits (1995),Drama,114753
68,French Twist (Gazon maudit) (1995),Comedy|Romance,113149
69,Friday (1995),Comedy,113118
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367
71,Fair Game (1995),Action,113010
72,Kicking and Screaming (1995),Comedy|Drama,113537
73,"Misérables, Les (1995)",Drama|War,113828
74,Bed of Roses (1996),Drama|Romance,115644
75,Big Bully (1996),Comedy|Drama,115676
76,Screamers (1995),Action|Sci-Fi|Thriller,114367
77,Nico Icon (1995),Documentary,113973
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,112744
79,"Juror, The (1996)",Drama|Thriller,116731
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,112445
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,114660
82,Antonia's Line (Antonia) (1995),Comedy|Drama,112379
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,114039
84,Last Summer in the Hamptons (1995),Comedy|Drama,113612
85,Angels and Insects (1995),Drama|Romance,112365
86,White Squall (1996),Action|Adventure|Drama,118158
87,Dunston Checks In (1996),Children|Comedy,116151
88,Black Sheep (1996),Comedy,115697
89,Nick of Time (1995),Action|Thriller,113972
90,"Journey of August King, The (1995)",Drama,113490
92,Mary Reilly (1996),Drama|Horror|Thriller,117002
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,114825
94,Beautiful Girls (1996),Comedy|Drama|Romance,115639
95,Broken Arrow (1996),Action|Adventure|Thriller,115759
96,In the Bleak Midwinter (1995),Comedy|Drama,113403
97,"Hate (Haine, La) (1995)",Crime|Drama,113247
